x	y	CX	CY	Type	Fileindex	Color	ROP2	Hidden	Group	AryType	AryX	AryY	AryCX	AryCY	AryNX	AryNY	AryXpos	AryYpos	AptExists	AptCX	AptCY	AptAngle	Text	Z	CZ	AryZ	AryCZ	AryNZ	AryZPos	AryAngle
34261.562500	27912.419922	11.000000	11.000000	0	39	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	38	0	0	0.000000	0.000000	0.000000	38	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34311.562500	27912.419922	11.000000	11.000000	0	40	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	39	0	0	0.000000	0.000000	0.000000	39	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34361.562500	27912.419922	11.000000	11.000000	0	41	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	40	0	0	0.000000	0.000000	0.000000	40	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34411.562500	27912.419922	11.000000	11.000000	0	42	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	41	0	0	0.000000	0.000000	0.000000	41	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34461.562500	27912.419922	11.000000	11.000000	0	43	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	42	0	0	0.000000	0.000000	0.000000	42	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34511.562500	27912.419922	11.000000	11.000000	0	44	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	43	0	0	0.000000	0.000000	0.000000	43	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34561.562500	27912.419922	11.000000	11.000000	0	45	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	44	0	0	0.000000	0.000000	0.000000	44	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34611.562500	27912.419922	11.000000	11.000000	0	46	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	45	0	0	0.000000	0.000000	0.000000	45	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34661.562500	27912.419922	11.000000	11.000000	0	47	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	46	0	0	0.000000	0.000000	0.000000	46	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34711.562500	27912.419922	11.000000	11.000000	0	48	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	47	0	0	0.000000	0.000000	0.000000	47	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34761.562500	27912.419922	11.000000	11.000000	0	49	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	48	0	0	0.000000	0.000000	0.000000	48	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34811.562500	27912.419922	11.000000	11.000000	0	50	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	49	0	0	0.000000	0.000000	0.000000	49	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34861.562500	27912.419922	11.000000	11.000000	0	51	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	50	0	0	0.000000	0.000000	0.000000	50	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34911.562500	27912.419922	11.000000	11.000000	0	52	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	51	0	0	0.000000	0.000000	0.000000	51	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34961.562500	27912.419922	11.000000	11.000000	0	53	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	52	0	0	0.000000	0.000000	0.000000	52	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
